state,latitude,longitude
Florida,30.7088,-81.4169
Florida,30.7064,-81.2274
Florida,30.4345,-81.2357
Florida,30.316,-81.1725
Florida,29.7763,-81.0379
Florida,28.8603,-80.5861
Florida,28.4771,-80.365
Florida,28.1882,-80.3815
Florida,27.1789,-79.9255
Florida,26.8425,-79.8198
Florida,26.1394,-79.9118
Florida,25.5115,-79.9997
Florida,24.8802,-80.3815
Florida,24.5384,-80.8704
Florida,24.3959,-81.925
Florida,24.4496,-82.2066
Florida,24.5484,-82.3137
Florida,24.6982,-82.1997
Florida,25.2112,-81.3977
Florida,25.6019,-81.4622
Florida,25.9235,-81.9456
Florida,26.3439,-82.2876
Florida,26.9098,-82.5307
Florida,27.3315,-82.8342
Florida,27.7565,-83.0182
Florida,28.0574,-83.0017
Florida,28.6098,-82.8548
Florida,28.9697,-83.0264
Florida,29.0478,-83.205
Florida,29.4157,-83.5318
Florida,29.9133,-83.9767
Florida,29.893,-84.1072
Florida,29.694,-84.4409
Florida,29.4551,-85.0465
Florida,29.4946,-85.361
Florida,29.7262,-85.5807
Florida,30.1594,-86.1946
Florida,30.2175,-86.851
Florida,30.1499,-87.5171
Florida,30.3006,-87.4429
Florida,30.4256,-87.375
Florida,30.483,-87.3743
Florida,30.5658,-87.3907
Florida,30.6344,-87.4004
Florida,30.6763,-87.4141
Florida,30.7702,-87.5253
Florida,30.8527,-87.6256
Florida,30.947,-87.5912
Florida,30.9682,-87.5912
Florida,30.9964,-87.605
Georgia,34.9974,-85.6082
Georgia,34.9906,-84.7266
Georgia,34.9895,-84.158
Georgia,34.9996,-83.1088
Georgia,34.9287,-83.1418
Georgia,34.8318,-83.3025
Georgia,34.7281,-83.356
Georgia,34.6569,-83.308
Georgia,34.5744,-83.1528
Georgia,34.4839,-83.0072
Georgia,34.4681,-82.8918
Georgia,34.4443,-82.8589
Georgia,34.2674,-82.749
Georgia,34.1254,-82.6831
Georgia,34.014,-82.5952
Georgia,33.8647,-82.3988
Georgia,33.7563,-82.2505
Georgia,33.6695,-82.2217
Georgia,33.5963,-82.1558
Georgia,33.5036,-82.0432
Georgia,33.3707,-81.9484
Georgia,33.2077,-81.8303
Georgia,33.1674,-81.7795
Georgia,33.1456,-81.7424
Georgia,33.0881,-81.6078
Georgia,33.0075,-81.5034
Georgia,32.9418,-81.5089
Georgia,32.6914,-81.4142
Georgia,32.5815,-81.4087
Georgia,32.5283,-81.2769
Georgia,32.4576,-81.1945
Georgia,32.3185,-81.1642
Georgia,32.2151,-81.1436
Georgia,32.1128,-81.1134
Georgia,32.0477,-80.9225
Georgia,32.05,-80.696
Georgia,31.8881,-80.7289
Georgia,31.4697,-80.9665
Georgia,30.9988,-81.1011
Georgia,30.7041,-81.2288
Georgia,30.7241,-81.6023
Georgia,30.7713,-81.7657
Georgia,30.8221,-81.9498
Georgia,30.756,-82.0239
Georgia,30.6379,-82.0459
Georgia,30.4866,-82.0239
Georgia,30.4309,-82.0363
Georgia,30.3575,-82.061
Georgia,30.3598,-82.1585
Georgia,30.3859,-82.2025
Georgia,30.4842,-82.2148
Georgia,30.5682,-82.2162
Georgia,30.6131,-82.9688
Georgia,30.7041,-84.8639
Georgia,30.7831,-84.9257
Georgia,30.9117,-84.9586
Georgia,30.9741,-84.9985
Georgia,31.1282,-85.063
Georgia,31.2116,-85.107
Georgia,31.5247,-85.0493
Georgia,31.8006,-85.1358
Georgia,31.9592,-85.0919
Georgia,32.157,-85.0342
Georgia,32.25,-84.9023
Georgia,32.3974,-84.9628
Georgia,32.5468,-85.0342
Georgia,32.6949,-85.1001
Georgia,32.8138,-85.166
Georgia,32.9833,-85.2072
Georgia,33.6512,-85.3418
Georgia,34.562,-85.5231
Georgia,34.9929,-85.6068
Iowa,40.5848,-95.7623
Iowa,40.5785,-93.5445
Iowa,40.6129,-91.7372
Iowa,40.5545,-91.6768
Iowa,40.5451,-91.6246
Iowa,40.3622,-91.4365
Iowa,40.4637,-91.3623
Iowa,40.5482,-91.4021
Iowa,40.6931,-91.1124
Iowa,40.8107,-91.1028
Iowa,40.9218,-90.9668
Iowa,41.1642,-91.0121
Iowa,41.2406,-91.1082
Iowa,41.4067,-91.0451
Iowa,41.451,-90.7086
Iowa,41.5178,-90.4793
Iowa,41.5908,-90.3419
Iowa,41.7457,-90.2788
Iowa,41.8164,-90.2074
Iowa,41.9023,-90.1538
Iowa,42.0962,-90.1744
Iowa,42.1441,-90.2692
Iowa,42.2905,-90.4298
Iowa,42.4093,-90.537
Iowa,42.5217,-90.64
Iowa,42.636,-90.7127
Iowa,42.6956,-90.7883
Iowa,42.7712,-91.0533
Iowa,42.8448,-91.0904
Iowa,42.9082,-91.1398
Iowa,43.0609,-91.1549
Iowa,43.1391,-91.1522
Iowa,43.2882,-91.0547
Iowa,43.3322,-91.2057
Iowa,43.414,-91.2236
Iowa,43.5008,-91.2305
Iowa,43.4998,-96.5973
Iowa,43.4818,-96.611
Iowa,43.3871,-96.5245
Iowa,43.2232,-96.5533
Iowa,43.1301,-96.4421
Iowa,42.9243,-96.5479
Iowa,42.7188,-96.6357
Iowa,42.6158,-96.5561
Iowa,42.5055,-96.4847
Iowa,42.4599,-96.3995
Iowa,42.3667,-96.405
